instance,n,m,k,UB,span,time,variables,clauses,solver,status
instance1.txt,10,15,15,80,33,0.16,10,17,CPLEX CP,SAT
instance2.txt,12,20,25,107,53,0.02,12,22,CPLEX CP,SAT
instance3.txt,12,40,20,107,83,3.07,12,42,CPLEX CP,SAT
instance4.txt,15,30,29,211,63,0.03,15,32,CPLEX CP,SAT
instance5.txt,18,60,20,189,83,1.43,18,62,CPLEX CP,SAT
instance6.txt,20,25,12,119,26,0.02,20,27,CPLEX CP,SAT
instance7.txt,20,100,13,128,68,22.41,20,102,CPLEX CP,SAT
instance8.txt,25,30,15,193,33,0.03,25,32,CPLEX CP,SAT
instance9.txt,25,150,20,253,123,600.02,25,152,CPLEX CP,SAT
instance10.txt,25,250,23,333,257,600.02,25,252,CPLEX CP,SAT
instance11.txt,30,100,50,716,158,18.38,30,102,CPLEX CP,SAT
instance12.txt,33,200,50,817,256,600.04,33,202,CPLEX CP,SAT
instance13.txt,35,500,30,586,427,600.02,35,502,CPLEX CP,SAT
instance14.txt,40,300,30,620,185,600.03,40,302,CPLEX CP,SAT
instance15.txt,45,150,4,111,45,0.02,45,153,CPLEX CP,SAT
instance16.txt,50,600,45,1150,375,600.05,50,602,CPLEX CP,SAT
