instance,n,m,k,UB,span,time,variables,clauses,solver,status
instance1.txt,10,15,15,80,33,0.13,879,98460,Cadical195,SAT
instance2.txt,12,20,25,107,53,0.30,1390,236038,Cadical195,SAT
instance3.txt,12,40,20,107,83,8.83,1390,294898,Cadical195,SAT
instance4.txt,15,30,29,211,63,2.02,3375,1023270,Cadical195,SAT
instance5.txt,18,60,20,189,83,10.52,3590,1087971,Cadical195,SAT
instance6.txt,20,25,12,119,26,0.62,2498,368595,Cadical195,SAT
instance7.txt,20,100,13,128,68,600.10,2687,653860,Cadical195,TIMEOUT
instance8.txt,25,30,15,193,33,1.93,5017,1145935,Cadical195,SAT
instance9.txt,25,150,20,253,123,600.11,6577,3092875,Cadical195,TIMEOUT
instance10.txt,25,250,23,333,260,600.15,8657,6483575,Cadical195,TIMEOUT
instance11.txt,30,100,50,716,159,600.16,22195,22513090,Cadical195,TIMEOUT
instance12.txt,33,200,50,817,258,600.31,27777,38118185,Cadical195,TIMEOUT
instance13.txt,35,500,30,586,460,600.26,21095,29199055,Cadical195,TIMEOUT
instance14.txt,40,300,30,620,191,600.25,25419,26547840,Cadical195,TIMEOUT
instance15.txt,45,150,4,111,45,0.95,5105,774135,Cadical195,SAT
instance16.txt,50,600,45,1150,N/A,658.93,0,0,Cadical195,TIMEOUT
