instance,n,m,k,UB,span,time,variables,clauses,solver,status
instance1.txt,10,15,15,80,33,0.14,116,160,CPLEX_MIP,OPTIMAL
instance2.txt,12,20,25,107,53,0.15,159,224,CPLEX_MIP,OPTIMAL
instance3.txt,12,40,20,107,83,0.71,239,304,CPLEX_MIP,OPTIMAL
instance4.txt,15,30,29,211,63,0.39,241,345,CPLEX_MIP,OPTIMAL
instance5.txt,18,60,20,189,83,4.73,412,564,CPLEX_MIP,OPTIMAL
instance6.txt,20,25,12,119,26,601.37,311,500,CPLEX_MIP,TO
instance7.txt,20,100,13,128,69,607.89,611,800,CPLEX_MIP,TO
instance8.txt,25,30,15,193,33,6.85,446,745,CPLEX_MIP,OPTIMAL
instance9.txt,25,150,20,253,124,603.76,926,1225,CPLEX_MIP,TO
instance10.txt,25,250,23,333,260,603.89,1326,1625,CPLEX_MIP,TO
instance11.txt,30,100,50,716,161,600.02,866,1300,CPLEX_MIP,TO
instance12.txt,33,200,50,817,310,602.89,1362,1889,CPLEX_MIP,TO
instance13.txt,35,500,30,586,490,602.92,2631,3225,CPLEX_MIP,TO
instance14.txt,40,300,30,620,221,604.41,2021,2800,CPLEX_MIP,TO
instance15.txt,45,150,4,111,45,8.63,1636,2625,CPLEX_MIP,OPTIMAL
instance16.txt,50,600,45,1150,594,604.83,3676,4900,CPLEX_MIP,TO
