instance,n,m,k,UB,span,time,variables,clauses,solver,status
instance1.txt,10,15,15,80,33,0.6,801,31750,GUROBI,OPTIMAL
instance2.txt,12,20,25,107,53,1.13,1285,92991,92991,OPTIMAL
instance3.txt,12,40,20,107,83,5.79,1285,151851,GUROBI,OPTIMAL
instance4.txt,15,30,29,211,63,8.99,3166,336691,GUROBI,OPTIMAL
instance5.txt,18,60,20,189,83,14..25,3403,419685,GUROBI,OPTIMAL
instance6.txt,20,25,12,119,26,1.2,2381,65284,GUROBI,OPTIMAL
instance7.txt,20,100,13,128,68,495.78,2561,304568,GUROBI,OPTIMAL
instance8.txt,25,30,15,193,33,1.99,4826,161853,GUROBI,OPTIMAL
instance9.txt,25,150,20,253,124,605.89,6326,1423353,GUROBI,TO
instance10.txt,25,250,23,333,273,615.15,8326,3620133,GUROBI,TO
instance11.txt,30,100,50,716,162,628.43,21481,6844176,GUROBI,TO
instance12.txt,33,200,50,817,276,665.59,26962,15687483,GUROBI,TO
instance13.txt,35,500,30,586,542,669.51,20511,16852656,GUROBI,TO
instance14.txt,40,300,30,620,241,644.82,24801,1013700,GUROBI,TO
instance15.txt,45,150,4,111,45,0.73,4996,114951,GUROBI,OPTIMAL
instance16.txt,50,600,45,1150,N/A,600,57501,60223250,GUROBI,TO
